Location,Region,Listings,Metroid,Regionids
Toronto,Ontario,toronto-ontario-restaurant-listings,74,164
Southern_Ontario,Ontario,toronto-ontario-restaurant-listings,74,1309
York,Ontario,toronto-ontario-restaurant-listings,74,328
Halton,Ontario,toronto-ontario-restaurant-listings,74,329
Niagara,Ontario,toronto-ontario-restaurant-listings,74,250
Peel_Region,Ontario,toronto-ontario-restaurant-listings,74,1714
Simcoe_County,Ontario,toronto-ontario-restaurant-listings,74,249
Windsor,Ontario,toronto-ontario-restaurant-listings,74,1240
Kingston,Ontario,toronto-ontario-restaurant-listings,74,359
Muskoka,Ontario,toronto-ontario-restaurant-listings,74,1312
Durham,Ontario,toronto-ontario-restaurant-listings,74,1537
Northern_Ontario,Ontario,toronto-ontario-restaurant-listings,74,1723
London,Ontario,toronto-ontario-restaurant-listings,74,1441
Bruce_County,Ontario,toronto-ontario-restaurant-listings,74,9261
Central_Ontario,Ontario,toronto-ontario-restaurant-listings,74,3181
Grey_County,Ontario,toronto-ontario-restaurant-listings,74,9518
Huron_County,Ontario,toronto-ontario-restaurant-listings,74,9516
Manitoulin_Island,Ontario,toronto-ontario-restaurant-listings,74,9239
Parry_Sound,Ontario,toronto-ontario-restaurant-listings,74,3061
Southwestern_Ontario,Ontario,toronto-ontario-restaurant-listings,74,3085
Thunder_Bay,Ontario,toronto-ontario-restaurant-listings,74,2578
Nova_Scotia,Nova_Scotia,nova-scotia-new-brunswick-restaurant-listings,274,1288
New_Brunswick,Nova_Scotia,nova-scotia-new-brunswick-restaurant-listings,274,1453
Newfoundland_and_labrador,Nova_Scotia,nova-scotia-new-brunswick-restaurant-listings,274,1543
Prince_Edward_Island,Nova_Scotia,nova-scotia-new-brunswick-restaurant-listings,274,2053
Calgary,Calgary,calgary-alberta-restaurant-listings,77,167
Invermere,Calgary,calgary-alberta-restaurant-listings,77,169
Banff/Canmore,Calgary,calgary-alberta-restaurant-listings,77,210
Red_Deer,Calgary,calgary-alberta-restaurant-listings,77,409
Southern_Alberta,Calgary,calgary-alberta-restaurant-listings,77,2470
Waterton_Lakes,Calgary,calgary-alberta-restaurant-listings,77,2479
